text,label
Good job 2,0
Good job 1,0
Good job 3,0
Good job 4,0
Good job 5,0
Good job 11,0
Good job 12,0
Good job 13,0
Good job 14,0
Good job 15,0
Good job 21,0
Good job 22,0
Good job 23,0
Good job 24,0
Good job 25,0
Good job 32,0
Good job 31,0
Good job 33,0
Good job 34,0
Good job 35,0
Good job 41,0
Good job 42,0
Good job 43,0
Good job 44,0
Good job 45,0
hello,1
world,1
computer,1
programming,1
science,1
family,1
friendship,1
learning,1
knowledge,1
book,1
art,1
nature,1
technology,1
innovation,1
creativity,1
happiness,1
success,1
achievement,1
progress,1
yes,1
inappropriate1,2
inappropriate2,2
inappropriate3,2
inappropriate4,2
inappropriate5,2
inappropriate6,2
inappropriate7,2
inappropriate8,2
inappropriate9,2
inappropriate10,2
inappropriate11,2
inappropriate12,2
inappropriate13,2
inappropriate14,2
inappropriate15,2
inappropriate16,2
inappropriate17,2
inappropriate18,2
inappropriate19,2
inappropriate20,2
inappropriate21,2
inappropriate22,2
inappropriate23,2
inappropriate24,2
inappropriate25,2
